university_name,country,city,language,budget,major,gpa,sat,ielts,avg_temp,qs_rank,scholarships,description,strengths,weaknesses,can_admit
Власов University of к. Усть-Ишим,Singapore,к. Усть-Ишим,Английский,15316,Environmental Science,2.36,1521,6.4,10.9,1232,305,Власов University of к. Усть-Ишим — один из ведущих университетов в Singapore. Университет известен своими достижениями в области environmental science.,Сильные инженерные программы,Высокая стоимость жизни,0
Смирнова University of клх Белгород,Netherlands,клх Белгород,Английский,24419,Psychology,3.2,1110,8.8,4.4,894,25,Смирнова University of клх Белгород — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области psychology.,Сильный студенческий обмен,Дорогая аренда жилья,0
Антонов University of г. Алапаевск,Netherlands,г. Алапаевск,Английский,57991,Economics,2.88,800,4.7,23.1,1143,192,Антонов University of г. Алапаевск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области economics.,Сильный студенческий обмен,Маленькое общежитие,0
Пахомов University of клх Апрелевка,Germany,клх Апрелевка,Немецкий,46012,Physics,3.1,1330,7.8,29.5,319,388,Пахомов University of клх Апрелевка — один из ведущих университетов в Germany. Университет известен своими достижениями в области physics.,Сильные инженерные программы,Маленькое общежитие,0
Андреев University of п. Беломорск,Netherlands,п. Беломорск,Английский,59923,Economics,4.19,802,5.9,1.4,865,305,Андреев University of п. Беломорск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области economics.,Сильные инженерные программы,Дорогая аренда жилья,0
Терентьева University of с. Верхний Уфалей,Australia,с. Верхний Уфалей,Английский,52544,Physics,3.71,1143,4.4,-1.4,1076,292,Терентьева University of с. Верхний Уфалей — один из ведущих университетов в Australia. Университет известен своими достижениями в области physics.,Сильный студенческий обмен,Нехватка стажировок,0
Шаров University of п. Великие Луки,USA,п. Великие Луки,Английский,21701,Physics,3.66,1082,4.9,22.6,52,16,Шаров University of п. Великие Луки — один из ведущих университетов в USA. Университет известен своими достижениями в области physics.,Сильный студенческий обмен,Маленькое общежитие,0
Соболев University of г. Кимры,Australia,г. Кимры,Английский,12933,Architecture,4.35,872,7.0,-2.5,1153,370,Соболев University of г. Кимры — один из ведущих университетов в Australia. Университет известен своими достижениями в области architecture.,Развитая инфраструктура,Нехватка стажировок,0
Вишняков University of к. Гудермес,China,к. Гудермес,Китайский,35330,Architecture,3.08,1392,9.0,15.7,600,233,Вишняков University of к. Гудермес — один из ведущих университетов в China. Университет известен своими достижениями в области architecture.,Сильная программа по ИИ,Дорогая аренда жилья,0
Зуев University of к. Балашиха,France,к. Балашиха,Французский,54157,Environmental Science,3.84,1309,6.9,25.8,1037,300,Зуев University of к. Балашиха — один из ведущих университетов в France. Университет известен своими достижениями в области environmental science.,Сильная программа по ИИ,Сложности с визами,1
Филатов University of клх Курильск,Germany,клх Курильск,Немецкий,13890,Psychology,4.31,1349,8.8,14.6,918,429,Филатов University of клх Курильск — один из ведущих университетов в Germany. Университет известен своими достижениями в области psychology.,Развитая инфраструктура,Высокая стоимость жизни,1
Смирнова University of к. Забайкальск,Russia,к. Забайкальск,Русский,9563,Environmental Science,3.07,1435,4.0,29.2,386,190,Смирнова University of к. Забайкальск — один из ведущих университетов в Russia. Университет известен своими достижениями в области environmental science.,Сильная программа по ИИ,Сложности с визами,0
Давыдова University of ст. Волхов,Singapore,ст. Волхов,Английский,55183,Economics,4.52,1418,4.6,21.2,713,326,Давыдова University of ст. Волхов — один из ведущих университетов в Singapore. Университет известен своими достижениями в области economics.,Сильная программа по ИИ,Маленькое общежитие,0
Орлова University of к. Вязьма,Russia,к. Вязьма,Русский,23553,Environmental Science,2.93,1223,7.6,11.9,70,65,Орлова University of к. Вязьма — один из ведущих университетов в Russia. Университет известен своими достижениями в области environmental science.,Развитая инфраструктура,Сложности с визами,0
Тетерин University of клх Комсомольск-на-Амуре,Canada,клх Комсомольск-на-Амуре,Английский,37441,Business,2.37,1550,4.8,20.0,747,45,Тетерин University of клх Комсомольск-на-Амуре — один из ведущих университетов в Canada. Университет известен своими достижениями в области business.,Развитая инфраструктура,Дорогая аренда жилья,0
Власова University of клх Невинномысск,France,клх Невинномысск,Французский,42560,Computer Science,4.58,844,7.2,0.0,814,475,Власова University of клх Невинномысск — один из ведущих университетов в France. Университет известен своими достижениями в области computer science.,Развитая инфраструктура,Сложности с визами,0
Зайцев University of ст. Куртамыш,Australia,ст. Куртамыш,Английский,34496,Engineering,2.59,1192,6.1,3.3,1484,63,Зайцев University of ст. Куртамыш — один из ведущих университетов в Australia. Университет известен своими достижениями в области engineering.,Развитая инфраструктура,Высокая стоимость жизни,0
Белов University of г. Сортавала,Netherlands,г. Сортавала,Английский,18845,Architecture,4.32,1453,7.5,0.2,1002,119,Белов University of г. Сортавала — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области architecture.,Сильная программа по ИИ,Маленькое общежитие,1
Русакова University of клх Выборг,Canada,клх Выборг,Английский,33974,Mathematics,4.8,1592,7.5,3.8,321,96,Русакова University of клх Выборг — один из ведущих университетов в Canada. Университет известен своими достижениями в области mathematics.,Сильный студенческий обмен,Маленькое общежитие,1
Кузьмина University of ст. Лазаревское,South Korea,ст. Лазаревское,Корейский,46995,Economics,2.29,821,5.1,27.4,1369,307,Кузьмина University of ст. Лазаревское — один из ведущих университетов в South Korea. Университет известен своими достижениями в области economics.,Сильная программа по ИИ,Сложности с визами,0
Жукова University of ст. Кинешма,France,ст. Кинешма,Французский,31955,Physics,3.41,863,6.9,-2.3,1367,476,Жукова University of ст. Кинешма — один из ведущих университетов в France. Университет известен своими достижениями в области physics.,Сильный студенческий обмен,Нехватка стажировок,0
Федотов University of д. Пышма,France,д. Пышма,Французский,49148,Mathematics,4.59,1571,4.6,25.7,547,195,Федотов University of д. Пышма — один из ведущих университетов в France. Университет известен своими достижениями в области mathematics.,Отличное финансирование исследований,Нехватка стажировок,0
Беляева University of п. Ноябрьск,France,п. Ноябрьск,Французский,22934,Psychology,3.91,1079,5.8,28.7,36,373,Беляева University of п. Ноябрьск — один из ведущих университетов в France. Университет известен своими достижениями в области psychology.,Сильная программа по ИИ,Дорогая аренда жилья,0
Мельников University of д. Гдов,Singapore,д. Гдов,Английский,59999,Political Science,2.73,1155,7.8,-3.5,1093,182,Мельников University of д. Гдов — один из ведущих университетов в Singapore. Университет известен своими достижениями в области political science.,Развитая инфраструктура,Нехватка стажировок,0
Вишнякова University of ст. Приозерск,Netherlands,ст. Приозерск,Английский,40805,Economics,2.66,946,4.7,11.7,880,337,Вишнякова University of ст. Приозерск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области economics.,Отличное финансирование исследований,Сложности с визами,0
Костина University of с. Сунтар,Australia,с. Сунтар,Английский,5434,Architecture,2.6,1418,4.9,0.1,157,393,Костина University of с. Сунтар — один из ведущих университетов в Australia. Университет известен своими достижениями в области architecture.,Развитая инфраструктура,Высокая стоимость жизни,0
Федосеев University of к. Холмогоры,Singapore,к. Холмогоры,Английский,41187,Political Science,3.85,1345,8.6,5.2,498,329,Федосеев University of к. Холмогоры — один из ведущих университетов в Singapore. Университет известен своими достижениями в области political science.,Сильный студенческий обмен,Дорогая аренда жилья,1
Зуев University of п. Токма,South Korea,п. Токма,Корейский,59562,Computer Science,2.92,1108,7.5,20.1,964,260,Зуев University of п. Токма — один из ведущих университетов в South Korea. Университет известен своими достижениями в области computer science.,Сильные инженерные программы,Сложности с визами,0
Логинов University of г. Югорск,Netherlands,г. Югорск,Английский,47998,Architecture,2.86,1487,6.2,-3.2,396,439,Логинов University of г. Югорск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области architecture.,Сильная программа по ИИ,Высокая стоимость жизни,0
Логинов University of ст. Вендинга,Japan,ст. Вендинга,Японский,56880,Physics,2.64,1016,8.4,3.7,297,169,Логинов University of ст. Вендинга — один из ведущих университетов в Japan. Университет известен своими достижениями в области physics.,Развитая инфраструктура,Нехватка стажировок,0
Исаков University of с. Обнинск,France,с. Обнинск,Французский,31607,Mathematics,2.82,855,7.0,15.6,1232,79,Исаков University of с. Обнинск — один из ведущих университетов в France. Университет известен своими достижениями в области mathematics.,Развитая инфраструктура,Маленькое общежитие,0
Сорокина University of д. Когалым,Canada,д. Когалым,Английский,6540,Medicine,4.37,1447,7.0,11.5,273,365,Сорокина University of д. Когалым — один из ведущих университетов в Canada. Университет известен своими достижениями в области medicine.,Отличное финансирование исследований,Нехватка стажировок,1
Шубина University of п. Южно-Курильск,Singapore,п. Южно-Курильск,Английский,37358,Economics,2.28,1567,9.0,25.7,497,253,Шубина University of п. Южно-Курильск — один из ведущих университетов в Singapore. Университет известен своими достижениями в области economics.,Сильный студенческий обмен,Дорогая аренда жилья,0
Мухина University of с. Инта,South Korea,с. Инта,Корейский,35262,Art,3.18,867,5.8,-3.5,905,125,Мухина University of с. Инта — один из ведущих университетов в South Korea. Университет известен своими достижениями в области art.,Сильный студенческий обмен,Маленькое общежитие,0
Герасимова University of п. Снежногорск (Мурм.),USA,п. Снежногорск (Мурм.),Английский,35708,Business,3.87,1550,8.0,12.7,858,375,Герасимова University of п. Снежногорск (Мурм.) — один из ведущих университетов в USA. Университет известен своими достижениями в области business.,Сильная программа по ИИ,Нехватка стажировок,1
Соколов University of д. Когалым,Japan,д. Когалым,Японский,44981,Engineering,4.93,1049,8.2,9.5,1425,0,Соколов University of д. Когалым — один из ведущих университетов в Japan. Университет известен своими достижениями в области engineering.,Сильная программа по ИИ,Дорогая аренда жилья,0
Пестов University of д. Иваново,South Korea,д. Иваново,Корейский,46436,Architecture,4.06,1323,7.4,13.3,698,467,Пестов University of д. Иваново — один из ведущих университетов в South Korea. Университет известен своими достижениями в области architecture.,Сильный студенческий обмен,Маленькое общежитие,1
"Гурьева University of г. Москва, МГУ",USA,"г. Москва, МГУ",Английский,19534,Computer Science,2.43,1511,8.7,3.4,332,287,"Гурьева University of г. Москва, МГУ — один из ведущих университетов в USA. Университет известен своими достижениями в области computer science.",Сильный студенческий обмен,Нехватка стажировок,0
Фролова University of к. Шуя,France,к. Шуя,Французский,48195,Psychology,3.14,1443,6.0,24.0,353,72,Фролова University of к. Шуя — один из ведущих университетов в France. Университет известен своими достижениями в области psychology.,Отличное финансирование исследований,Высокая стоимость жизни,0
Лазарев University of ст. Ершов,Canada,ст. Ершов,Английский,13287,Psychology,4.13,1268,5.8,-4.2,488,293,Лазарев University of ст. Ершов — один из ведущих университетов в Canada. Университет известен своими достижениями в области psychology.,Сильные инженерные программы,Сложности с визами,0
Щербаков University of г. Холмогоры,Russia,г. Холмогоры,Русский,48658,Engineering,3.25,980,6.0,28.3,99,110,Щербаков University of г. Холмогоры — один из ведущих университетов в Russia. Университет известен своими достижениями в области engineering.,Сильный студенческий обмен,Дорогая аренда жилья,0
Колесникова University of д. Новый Оскол,South Korea,д. Новый Оскол,Корейский,13452,Art,2.31,1347,4.9,25.9,1362,410,Колесникова University of д. Новый Оскол — один из ведущих университетов в South Korea. Университет известен своими достижениями в области art.,Отличное финансирование исследований,Дорогая аренда жилья,0
Суханов University of ст. Александровск,South Korea,ст. Александровск,Корейский,45126,Political Science,2.05,1158,6.6,0.7,788,447,Суханов University of ст. Александровск — один из ведущих университетов в South Korea. Университет известен своими достижениями в области political science.,Отличное финансирование исследований,Нехватка стажировок,0
Павлова University of г. Шатой,Australia,г. Шатой,Английский,17230,Medicine,4.6,1552,5.5,0.2,464,189,Павлова University of г. Шатой — один из ведущих университетов в Australia. Университет известен своими достижениями в области medicine.,Сильный студенческий обмен,Сложности с визами,0
Ларионова University of клх Осташков,Netherlands,клх Осташков,Английский,35913,Physics,4.83,1561,7.9,21.6,761,142,Ларионова University of клх Осташков — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области physics.,Развитая инфраструктура,Высокая стоимость жизни,1
Орлов University of с. Северо-Курильск,South Korea,с. Северо-Курильск,Корейский,8712,Economics,2.92,1053,8.6,-2.0,1061,136,Орлов University of с. Северо-Курильск — один из ведущих университетов в South Korea. Университет известен своими достижениями в области economics.,Развитая инфраструктура,Высокая стоимость жизни,0
Гущина University of г. Гаврилов-Ям,Russia,г. Гаврилов-Ям,Русский,37244,Biology,2.16,1489,4.1,-1.5,1178,452,Гущина University of г. Гаврилов-Ям — один из ведущих университетов в Russia. Университет известен своими достижениями в области biology.,Развитая инфраструктура,Дорогая аренда жилья,0
Гаврилова University of ст. Калуга,Netherlands,ст. Калуга,Английский,21312,Computer Science,2.19,1407,4.1,22.4,1112,206,Гаврилова University of ст. Калуга — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области computer science.,Отличное финансирование исследований,Нехватка стажировок,0
Захаров University of п. Королев,United Kingdom,п. Королев,Английский,46269,Art,4.17,802,7.1,28.1,32,424,Захаров University of п. Королев — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области art.,Развитая инфраструктура,Маленькое общежитие,0
Пестов University of с. Павловский Посад,South Korea,с. Павловский Посад,Корейский,25870,Engineering,3.72,1488,5.0,6.8,963,307,Пестов University of с. Павловский Посад — один из ведущих университетов в South Korea. Университет известен своими достижениями в области engineering.,Сильные инженерные программы,Сложности с визами,0
Калашникова University of клх Кулунда,Netherlands,клх Кулунда,Английский,24946,Economics,4.86,1383,7.2,2.5,1307,97,Калашникова University of клх Кулунда — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области economics.,Сильные инженерные программы,Нехватка стажировок,1
Тимофеева University of к. Нязепетровск,Netherlands,к. Нязепетровск,Английский,7319,Biology,4.85,1185,4.2,22.5,578,174,Тимофеева University of к. Нязепетровск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области biology.,Сильные инженерные программы,Дорогая аренда жилья,0
Никифоров University of клх Тырныауз,Russia,клх Тырныауз,Русский,59276,Art,4.51,1510,5.1,19.3,182,123,Никифоров University of клх Тырныауз — один из ведущих университетов в Russia. Университет известен своими достижениями в области art.,Развитая инфраструктура,Сложности с визами,0
Щербаков University of ст. Алдан,South Korea,ст. Алдан,Корейский,26236,Engineering,2.5,1148,5.7,17.5,710,491,Щербаков University of ст. Алдан — один из ведущих университетов в South Korea. Университет известен своими достижениями в области engineering.,Сильная программа по ИИ,Высокая стоимость жизни,0
Лазарев University of п. Игнашино,South Korea,п. Игнашино,Корейский,14692,Business,2.98,1482,7.9,21.4,641,269,Лазарев University of п. Игнашино — один из ведущих университетов в South Korea. Университет известен своими достижениями в области business.,Сильная программа по ИИ,Высокая стоимость жизни,0
Муравьева University of к. Сковородино,Russia,к. Сковородино,Русский,50271,Architecture,2.48,1107,6.3,23.0,201,483,Муравьева University of к. Сковородино — один из ведущих университетов в Russia. Университет известен своими достижениями в области architecture.,Сильный студенческий обмен,Сложности с визами,0
Фокин University of ст. Сунтар,China,ст. Сунтар,Китайский,46323,Psychology,2.77,1347,7.6,-4.8,1281,236,Фокин University of ст. Сунтар — один из ведущих университетов в China. Университет известен своими достижениями в области psychology.,Развитая инфраструктура,Маленькое общежитие,0
Баранова University of с. Кущевская,USA,с. Кущевская,Английский,59508,Chemistry,3.74,1032,6.4,16.9,500,285,Баранова University of с. Кущевская — один из ведущих университетов в USA. Университет известен своими достижениями в области chemistry.,Сильный студенческий обмен,Высокая стоимость жизни,0
Тимофеев University of п. Юрьев-Польский,China,п. Юрьев-Польский,Китайский,12198,Art,4.4,1305,6.4,0.4,607,279,Тимофеев University of п. Юрьев-Польский — один из ведущих университетов в China. Университет известен своими достижениями в области art.,Сильные инженерные программы,Высокая стоимость жизни,1
Меркушева University of п. Эльтон,Canada,п. Эльтон,Английский,8596,Political Science,4.24,1400,7.4,10.2,1491,494,Меркушева University of п. Эльтон — один из ведущих университетов в Canada. Университет известен своими достижениями в области political science.,Сильный студенческий обмен,Дорогая аренда жилья,1
Соболев University of п. Бронницы,Russia,п. Бронницы,Русский,14456,Computer Science,3.91,1062,7.7,26.2,984,0,Соболев University of п. Бронницы — один из ведущих университетов в Russia. Университет известен своими достижениями в области computer science.,Сильные инженерные программы,Нехватка стажировок,0
Романов University of г. Петрозаводск,United Kingdom,г. Петрозаводск,Английский,40703,Environmental Science,4.8,1235,4.2,8.6,964,165,Романов University of г. Петрозаводск — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области environmental science.,Сильные инженерные программы,Нехватка стажировок,0
Денисов University of ст. Липецк,USA,ст. Липецк,Английский,51336,Art,3.15,1537,5.9,17.5,1458,32,Денисов University of ст. Липецк — один из ведущих университетов в USA. Университет известен своими достижениями в области art.,Сильные инженерные программы,Дорогая аренда жилья,0
Титова University of ст. Лазаревское,Germany,ст. Лазаревское,Немецкий,32414,Business,4.91,1015,6.3,17.4,683,423,Титова University of ст. Лазаревское — один из ведущих университетов в Germany. Университет известен своими достижениями в области business.,Сильный студенческий обмен,Сложности с визами,0
Сысоев University of с. Краснодар,Canada,с. Краснодар,Английский,12661,Medicine,4.98,905,6.8,18.9,978,352,Сысоев University of с. Краснодар — один из ведущих университетов в Canada. Университет известен своими достижениями в области medicine.,Развитая инфраструктура,Высокая стоимость жизни,0
Филатов University of ст. Моздок,United Kingdom,ст. Моздок,Английский,22825,Computer Science,4.38,888,5.1,22.9,182,136,Филатов University of ст. Моздок — один из ведущих университетов в United Kingdom. Университет известен своими достижениями в области computer science.,Отличное финансирование исследований,Сложности с визами,0
Кошелев University of к. Кирово-Чепецк,USA,к. Кирово-Чепецк,Английский,39599,Computer Science,4.83,1566,7.7,0.1,1314,367,Кошелев University of к. Кирово-Чепецк — один из ведущих университетов в USA. Университет известен своими достижениями в области computer science.,Развитая инфраструктура,Сложности с визами,1
Русакова University of с. Холмск,Netherlands,с. Холмск,Английский,57538,Physics,4.07,1088,4.3,-2.2,772,127,Русакова University of с. Холмск — один из ведущих университетов в Netherlands. Университет известен своими достижениями в области physics.,Отличное финансирование исследований,Дорогая аренда жилья,0
Куликова University of д. Бодайбо,Singapore,д. Бодайбо,Английский,32199,Engineering,3.87,1114,8.4,-0.1,397,49,Куликова University of д. Бодайбо — один из ведущих университетов в Singapore. Университет известен своими достижениями в области engineering.,Развитая инфраструктура,Маленькое общежитие,0
Дорофеев University of д. Котельнич,France,д. Котельнич,Французский,48866,Engineering,3.15,1234,7.8,1.5,434,320,Дорофеев University of д. Котельнич — один из ведущих университетов в France. Университет известен своими достижениями в области engineering.,Сильный студенческий обмен,Дорогая аренда жилья,0
Карпова University of с. Объячево,Japan,с. Объячево,Японский,11061,Mathematics,3.5,1253,5.6,21.5,610,126,Карпова University of с. Объячево — один из ведущих университетов в Japan. Университет известен своими достижениями в области mathematics.,Отличное финансирование исследований,Высокая стоимость жизни,0
Белов University of ст. Орск,Germany,ст. Орск,Немецкий,15158,Political Science,4.99,1066,7.8,18.4,1015,213,Белов University of ст. Орск — один из ведущих университетов в Germany. Университет известен своими достижениями в области political science.,Развитая инфраструктура,Высокая стоимость жизни,0
Тетерин University of г. Прохладный,USA,г. Прохладный,Английский,36179,Art,3.59,878,8.9,28.2,595,72,Тетерин University of г. Прохладный — один из ведущих университетов в USA. Университет известен своими достижениями в области art.,Отличное финансирование исследований,Дорогая аренда жилья,0
Зуев University of п. Аршан (Бурят.),Australia,п. Аршан (Бурят.),Английский,40758,Engineering,4.96,1086,4.3,-2.9,314,147,Зуев University of п. Аршан (Бурят.) — один из ведущих университетов в Australia. Университет известен своими достижениями в области engineering.,Отличное финансирование исследований,Нехватка стажировок,0
Горбачева University of ст. Усть-Ишим,France,ст. Усть-Ишим,Французский,47821,Economics,3.06,1489,7.6,26.2,442,114,Горбачева University of ст. Усть-Ишим — один из ведущих университетов в France. Университет известен своими достижениями в области economics.,Сильные инженерные программы,Высокая стоимость жизни,0
